id,key,value,type
33522151,created_by,JOSM,regular
33522160,created_by,JOSM,regular
33522167,created_by,JOSM,regular
33522174,created_by,JOSM,regular
153341857,ele,241,regular
153341857,name,Ives Grove,regular
153341857,is_in,"Racine,Wisconsin,Wis.,WI,USA",regular
153341857,place,hamlet,regular
153341857,id,1567050,gnis
153341857,gnis:Class,Populated Place,regular
153341857,gnis:County,Racine,regular
153341857,gnis:ST_num,55,regular
153341857,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153341857,gnis:County_num,101,regular
153352106,ele,274,regular
153352106,name,Goldenthal,regular
153352106,is_in,"Washington,Wisconsin,Wis.,WI,USA",regular
153352106,place,hamlet,regular
153352106,id,1565616,gnis
153352106,gnis:Class,Populated Place,regular
153352106,gnis:County,Washington,regular
153352106,gnis:ST_num,55,regular
153352106,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153352106,gnis:County_num,131,regular
153353158,ele,241,regular
153353158,name,McLaughlins Subdivision,regular
153353158,is_in,"Waukesha,Wisconsin,Wis.,WI,USA",regular
153353158,place,hamlet,regular
153353158,id,1850393,gnis
153353158,gnis:Class,Populated Place,regular
153353158,gnis:County,Waukesha,regular
153353158,gnis:ST_num,55,regular
153353158,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153353158,gnis:County_num,133,regular
153360393,ele,196,regular
153360393,name,Crestview,regular
153360393,is_in,"Racine,Wisconsin,Wis.,WI,USA",regular
153360393,place,hamlet,regular
153360393,id,1563530,gnis
153360393,gnis:Class,Populated Place,regular
153360393,gnis:County,Racine,regular
153360393,gnis:ST_num,55,regular
153360393,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153360393,gnis:County_num,101,regular
153361225,ele,199,regular
153361225,name,West Milwaukee,regular
153361225,is_in,"Milwaukee,Wisconsin,Wis.,WI,USA",regular
153361225,place,village,regular
153361225,id,1576537,gnis
153361225,wikipedia,"en:West Milwaukee, Wisconsin",regular
153361225,gnis:Class,Populated Place,regular
153361225,population,4004,regular
153361225,gnis:County,Milwaukee,regular
153361225,gnis:ST_num,55,regular
153361225,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153361225,gnis:County_num,079,regular
153361225,population,4004;2006,census
153364199,ele,199,regular
153364199,name,Glendale,regular
153364199,is_in,"Milwaukee,Wisconsin,Wis.,WI,USA",regular
153364199,place,town,regular
153364199,id,1565570,gnis
153364199,gnis:Class,Populated Place,regular
153364199,population,12811,regular
153364199,gnis:County,Milwaukee,regular
153364199,gnis:ST_num,55,regular
153364199,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153364199,gnis:County_num,079,regular
153364199,population,12811;2006,census
153364489,ele,213,regular
153364489,name,Tabor,regular
153364489,is_in,"Racine,Wisconsin,Wis.,WI,USA",regular
153364489,place,hamlet,regular
153364489,id,1575214,gnis
153364489,gnis:Class,Populated Place,regular
153364489,gnis:County,Racine,regular
153364489,gnis:ST_num,55,regular
153364489,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153364489,gnis:County_num,101,regular
153365323,ele,265,regular
153365323,name,Troy,regular
153365323,is_in,"Walworth,Wisconsin,Wis.,WI,USA",regular
153365323,place,village,regular
153365323,id,1575688,gnis
153365323,wikipedia,"en:Troy, Wisconsin",regular
153365323,gnis:Class,Populated Place,regular
153365323,population,2409,regular
153365323,gnis:County,Walworth,regular
153365323,gnis:ST_num,55,regular
153365323,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153365323,gnis:County_num,127,regular
153365323,population,2409;2006,census
153366729,ele,306,regular
153366729,name,Pike Lake,regular
153366729,is_in,"Washington,Wisconsin,Wis.,WI,USA",regular
153366729,place,hamlet,regular
153366729,id,1571384,gnis
153366729,gnis:Class,Populated Place,regular
153366729,gnis:County,Washington,regular
153366729,gnis:ST_num,55,regular
153366729,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153366729,gnis:County_num,131,regular
153366847,ele,231,regular
153366847,name,Grafton,regular
153366847,is_in,"Ozaukee,Wisconsin,Wis.,WI,USA",regular
153366847,place,town,regular
153366847,id,1565704,gnis
153366847,gnis:Class,Populated Place,regular
153366847,population,11568,regular
